NIVEL_WPS	CODIGO_WPS	QTDE_WPS	DESCRICAO_WPS	LARG_WPS	ALT_WPS	PROF_WPS	COMP_WPS	MATERIAL_WPS	USINAGEM_1_WPS	USINAGEM_2_WPS	LARG_TOP	CATEGORIA	IMAGEN	
1		80	GEOMETRIA	1094	20	220	20				1094			
1	QT01	1	ARMARIO ALTO	1060	2150	745	2150				1060			
2	LATERAL0001505000600	1	LATERAL DIR 2_5	15	2150	730	2150	15_ESCARLATE			15		C:\Nesting\LIVING\IMG_COMP\LATERALDIR2_-1-1000271.BMP	
3	15_ESCARLATE	1.57	15_ESCARLATE	730	15	0	2150	15_ESCARLATE			2150	ARAUCO		
3	ABS_ESCARLATE_22	2.15	ABS_ESCARLATE_22	2150	0	0	0	ABS_ESCARLATE_22			2150			
2	LATERAL0001505000600	1	LATERAL ESQ 2_5	15	2150	730	2150	15_ESCARLATE			15		C:\Nesting\LIVING\IMG_COMP\LATERALESQ2_-1-1000274.BMP	
3	15_ESCARLATE	1.57	15_ESCARLATE	730	15	0	2150	15_ESCARLATE			2150	ARAUCO		
3	ABS_ESCARLATE_22	2.15	ABS_ESCARLATE_22	2150	0	0	0	ABS_ESCARLATE_22			2150			
2	PISO2_5042004850015	1	PISO 2_5	1030	15	730	15	15_ESCARLATE			1030		C:\Nesting\LIVING\IMG_COMP\PISO2_5-1-1000277.BMP	
3	15_ESCARLATE	0.75	15_ESCARLATE	730	15	0	1030	15_ESCARLATE			1030	ARAUCO		
3	ABS_ESCARLATE_22	1.03	ABS_ESCARLATE_22	1030	0	0	0	ABS_ESCARLATE_22			1030			
2	TETO2_5042004850015	1	TETO 2_5	1030	15	730	15	15_ESCARLATE			1030		C:\Nesting\LIVING\IMG_COMP\TETO2_5-1-1000280.BMP	
3	15_ESCARLATE	0.75	15_ESCARLATE	730	15	0	1030	15_ESCARLATE			1030	ARAUCO		
3	ABS_ESCARLATE_22	1.03	ABS_ESCARLATE_22	1030	0	0	0	ABS_ESCARLATE_22			1030			
2	FUNDO_5042000150600	1	FUNDO _5	1060	2150	15	2150	15_ESCARLATE			1060		C:\Nesting\LIVING\IMG_COMP\FUNDO_5-1-1000283.BMP	
3	15_ESCARLATE	2.28	15_ESCARLATE	1060	15	0	2150	15_ESCARLATE			2150	ARAUCO		
2	REVEST_PERFIL_VEGAS_X_ESPECIAL	6	PERFIL VEGAS HOR	1030	1	1	1				1030			
2	REVEST_PERFIL_VEGAS_Y_ESPECIAL	6	PERFIL VEGAS VER	1	1	695	1				1			
2	REVEST_VIDRO_4MM_Y_TRANSLUCIDO_CLEAR	3	VIDRO 4MM XY	1027	4	692	4				1027			
2	PARAFUSO_4x40	10	PARAFUSO DIR 4X40	40	4	4	4				40			
2	PARAFUSO_4x40	10	PARAFUSO ESQ 4x40	40	4	4	4				40			
2	PERFIL_3446_ESPECIAL	1	PORTA DIR LINEA 200MM PERFIL 3446	527	2184	18	2184				527			
3	PERFIL_3446_X_ESPECIAL	2	PERFIL ALUMINIO 3346 X	527	1	1	1				527			
3	PERFIL_3446_Z_ESPECIAL	2	PERFIL ALUMINIO 3346 Z	1	2184	1	2184				1			
2	REVEST_VIDRO_4MM_REFLECTA_INCOLOR	2	VIDRO 4mm	523	2180	4	2180				523			
2	NEO_PERFIL_NEO32_V_ESPECIAL	1	PERFIL NEO32 ESQ VERTICAL	11	200	35	200				11			
2	PERFIL_3446_ESPECIAL	1	PORTA ESQ LINEA 200MM PERFIL 3446	527	2184	18	2184				527			
3	PERFIL_3446_X_ESPECIAL	2	PERFIL ALUMINIO 3346 X	527	1	1	1				527			
3	PERFIL_3446_Z_ESPECIAL	2	PERFIL ALUMINIO 3346 Z	1	2184	1	2184				1			
2	BLUM_4243508_75B1550	4	DOBRADICA BLUM 107 DIR	37	57	79	57				37			
3	BLUM_4427776_70.1503.OGABD	1	BLUM DOBRADICA CAPA BRACO	44	4	15	4				44			
3	BLUM_9003173_70T3504	1	BLUM DOBRADICA CAPA CANECO	57	2	20	2				57			
2	BLUM_7480175_173L6100	4	BLUM CALCO DOBRADICA DIR RETO	8	19	44	19				8			
2	BLUM_4243508_75B1550	4	DOBRADICA BLUM 107 ESQ	37	57	79	57				37			
3	BLUM_4427776_70.1503.OGABD	1	BLUM DOBRADICA CAPA BRACO	44	4	15	4				44			
3	BLUM_9003173_70T3504	1	BLUM DOBRADICA CAPA CANECO	57	2	20	2				57			
2	BLUM_7480175_173L6100	4	BLUM CALCO DOBRADICA ESQ RETA	8	19	44	19				8			
2	124851_PERFIL_LED_COM_CAPA	1	PERFIL LED SUP COM CAPA	1030	9	24	9				1030			
1	COIL07	1	GAVETEIRO	960	150	665	150				960			
2	LATERAL001806000600	1	LATERAL DIR INF 2_4C_5	15	150	665	150	15_BEIGE			15		C:\Nesting\LIVING\IMG_COMP\LATERALDIRIN-1-1000577.BMP	
3	15_BEIGE	0.10	15_BEIGE	665	15	0	150	15_BEIGE			150	ARAUCO		
3	ABS_ESCARLATE_22	0.82	ABS_ESCARLATE_22	815	0	0	0	ABS_ESCARLATE_22			815			
2	LATERAL001506000800	1	LATERAL ESQ INF 2_4C_5	15	150	665	150	15_BEIGE			15		C:\Nesting\LIVING\IMG_COMP\LATERALESQIN-1-1000580.BMP	
3	15_BEIGE	0.10	15_BEIGE	665	15	0	150	15_BEIGE			150	ARAUCO		
3	ABS_ESCARLATE_22	0.82	ABS_ESCARLATE_22	815	0	0	0	ABS_ESCARLATE_22			815			
2	FUNDOIN066400150585	1	FUNDO 4C_5	930	135	15	135	15_BEIGE			930		C:\Nesting\LIVING\IMG_COMP\FUNDO4C_5-1-1000583.BMP	
3	15_BEIGE	0.13	15_BEIGE	930	15	0	135	15_BEIGE			135	ARAUCO		
2	PISOINF066406000015	1	PISO 2_4C_5	930	15	665	15	15_BEIGE			930		C:\Nesting\LIVING\IMG_COMP\PISO2_4C_5-1-1000586.BMP	
3	15_BEIGE	0.62	15_BEIGE	665	15	0	930	15_BEIGE			930	ARAUCO		
3	ABS_ESCARLATE_22	0.93	ABS_ESCARLATE_22	930	0	0	0	ABS_ESCARLATE_22			930			
2	FRONTAL062001500015	1	FRONTAL LINEA 2_4C_5	930	15	150	15	15_BEIGE			930		C:\Nesting\LIVING\IMG_COMP\FRONTALLINEA-1-1000589.BMP	
3	15_BEIGE	0.14	15_BEIGE	150	15	0	930	15_BEIGE			930	ARAUCO		
3	ABS_ESCARLATE_22	0.93	ABS_ESCARLATE_22	930	0	0	0	ABS_ESCARLATE_22			930			
2	PARAFUSO_4x40	8	PARAFUSO DIR 4X40	40	4	4	4				40			
2	PARAFUSO_4x40	8	PARAFUSO ESQ 4x40	40	4	4	4				40			
2	ARREMATE003500180805	2	ARREMATE FECHAMENTO _5	35	150	18	150	18_ESCARLATE			35		C:\Nesting\LIVING\IMG_COMP\ARREMATEFECH-1-1000644.BMP	
3	18_ESCARLATE	0.01	18_ESCARLATE	35	18	0	150	18_ESCARLATE			150	ARAUCO		
2	LTGVDIV001504900345	1	LTGV DIV 2_4C_5	15	95	490	95	15_BEIGE			15		C:\Nesting\LIVING\IMG_COMP\LTGVDIV2_4C_-1-1000656.BMP	
3	15_BEIGE	0.05	15_BEIGE	95	15	0	490	15_BEIGE			490	ARAUCO		
3	ABS_BEIGE_22	0.98	ABS_BEIGE_22	980	0	0	0	ABS_BEIGE_22			980			
2	LTGVREP001504900345	1	LTGV REP	15	95	490	95				15			
2	CFGVDIV042800150317	1	CFGV DIV 2_4C_5	888	67	15	67	15_BEIGE			888		C:\Nesting\LIVING\IMG_COMP\CFGVDIV2_4C_-1-1000662.BMP	
3	15_BEIGE	0.06	15_BEIGE	67	15	0	888	15_BEIGE			888	ARAUCO		
3	ABS_BEIGE_22	1.78	ABS_BEIGE_22	1776	0	0	0	ABS_BEIGE_22			1776			
2	CFGVREP042800150317	1	CFGV REP	888	67	15	67				888			
2	PSGV4C_042804900015	1	PSGV TT 4C_5	888	15	490	15	15_BEIGE			888		C:\Nesting\LIVING\IMG_COMP\PSGVTT4C_5-1-1000668.BMP	
3	15_BEIGE	0.44	15_BEIGE	490	15	0	888	15_BEIGE			888	ARAUCO		
2	BLUM_06252652_560H5000B	1	BLUM TT 500MM	930	95	665	95				930			
2	BLUM_02003530_T51.1700.04	1	BLUM ADAPTADOR LARANJA D	55	17	81	17				55			
2	BLUM_02003290_T51.1700.04	1	BLUM ADAPTADOR LARANJA E	55	17	81	17				55			
2	FRENTEG049600180395	1	FRENTE GAV LINEA 150MM 3_2_5	956	145	18	145	18_ESCARLATE			956		C:\Nesting\LIVING\IMG_COMP\FRENTEGAVLIN-1-1000688.BMP	
3	18_ESCARLATE	0.14	18_ESCARLATE	956	18	0	145	18_ESCARLATE			145	ARAUCO		
3	ABS_ESCARLATE_22	2.06	ABS_ESCARLATE_22	2057	0	0	0	ABS_ESCARLATE_22			2057			
3	PERFIL PRETO	0.15	PERFIL PRETO	145	0	0	0	PERFIL PRETO			145			
